district_name,uid,area,zonalstat,geometry,source_file,mandal_name,mean_value,max_value,min_value,std_value,bounds
Bhadradri Kothagudem,TSD0001,6974.14,"{'min': 24.367647171020508, 'max': 31.950952529907227, 'mean': 28.63884845890411, 'count': 1825, 'sum': 52265.8984375, 'median': 28.768999099731445}","(80.20302028700007, 17.190519193000057, 81.31479948400005, 18.238859586000046)",01-01-2023.geojson,,,,,,
Jagtial,TSD0002,2853.09,"{'min': 26.049129486083984, 'max': 31.104736328125, 'mean': 28.360240765171504, 'count': 758, 'sum': 21497.0625, 'median': 28.235605239868164}","(78.51948718900007, 18.563739734000023, 79.29767471800005, 19.07988819600007)",01-01-2023.geojson,,,,,,
Jangoan,TSD0003,2112.71,"{'min': 26.912609100341797, 'max': 31.70833396911621, 'mean': 29.556707010286225, 'count': 559, 'sum': 16522.19921875, 'median': 29.625652313232422}","(78.86787166400006, 17.491730369000038, 79.56249112400008, 17.998869741000078)",01-01-2023.geojson,,,,,,
Mulugu,TSD0004,4189.02,"{'min': 25.05181884765625, 'max': 32.7827262878418, 'mean': 28.009278662241226, 'count': 1111, 'sum': 31118.30859375, 'median': 27.920000076293945}","(79.81612732700006, 17.99631982000011, 80.7937048350002, 18.63260770700009)",01-01-2023.geojson,,,,,,
Kamareddy,TSD0005,3701.83,"{'min': 23.297693252563477, 'max': 33.55720138549805, 'mean': 29.148235590455474, 'count': 977, 'sum': 28477.826171875, 'median': 29.175216674804688}","(77.52089201100006, 18.068441783000026, 78.56926485100007, 18.558842766000055)",01-01-2023.geojson,,,,,,
Karimnagar,TSD0006,2127.79,"{'min': 24.14384651184082, 'max': 30.163333892822266, 'mean': 28.340607180791594, 'count': 559, 'sum': 15842.3994140625, 'median': 28.466522216796875}","(78.94956144100007, 18.132462591000035, 79.58025617800001, 18.678822129000025)",01-01-2023.geojson,,,,,,
Khammam,TSD0007,4491.25,"{'min': 24.166471481323242, 'max': 31.527999877929688, 'mean': 28.895767106681035, 'count': 1160, 'sum': 33519.08984375, 'median': 29.068958282470703}","(79.80212475200005, 16.768789670000046, 80.92560532200008, 17.577896090000024)",01-01-2023.geojson,,,,,,
Mahabubabad,TSD0008,3551.04,"{'min': 25.476316452026367, 'max': 31.32428550720215, 'mean': 28.814603848472668, 'count': 933, 'sum': 26884.025390625, 'median': 28.850000381469727}","(79.51293497700004, 17.321621569000058, 80.32312548900006, 18.106543834000092)",01-01-2023.geojson,,,,,,
Mancherial,TSD0009,3909.4,"{'min': 25.42523765563965, 'max': 32.02727127075195, 'mean': 28.96285122478386, 'count': 1041, 'sum': 30150.328125, 'median': 29.049999237060547}","(78.87934684700008, 18.672040560000028, 79.96247775100005, 19.288073780000047)",01-01-2023.geojson,,,,,,
Medak,TSD0010,2771.68,"{'min': 23.673076629638672, 'max': 32.645198822021484, 'mean': 29.18264021324549, 'count': 721, 'sum': 21040.68359375, 'median': 29.15959930419922}","(77.79480732300004, 17.664489015000072, 78.58893089700007, 18.215476757000033)",01-01-2023.geojson,,,,,,
Nagarkurnool,TSD0011,6399.07,"{'min': 25.65571403503418, 'max': 33.23695755004883, 'mean': 29.92529028752288, 'count': 1639, 'sum': 49047.55078125, 'median': 30.333999633789062}","(78.10083116400006, 16.00532167600005, 79.23432760400004, 16.830959432000043)",01-01-2023.geojson,,,,,,
Nalgonda,TSD0012,7218.26,"{'min': 25.043912887573242, 'max': 34.22666549682617, 'mean': 29.83693783068783, 'count': 1890, 'sum': 56391.8125, 'median': 29.90999984741211}","(78.62614167300006, 16.35584791900004, 79.70200312500003, 17.35996707100003)",01-01-2023.geojson,,,,,,
Nirmal,TSD0013,3729.13,"{'min': 23.30384635925293, 'max': 32.10279846191406, 'mean': 28.651062689202824, 'count': 991, 'sum': 28393.203125, 'median': 28.76555633544922}","(77.76173454100007, 18.84522452500005, 78.95237500500008, 19.342882151000026)",01-01-2023.geojson,,,,,,
Nizamabad,TSD0014,4168.33,"{'min': 23.323076248168945, 'max': 31.063846588134766, 'mean': 27.6595176260218, 'count': 1101, 'sum': 30453.12890625, 'median': 27.734800338745117}","(77.73094369300003, 18.43404349700006, 78.64029038200005, 19.015710890000037)",01-01-2023.geojson,,,,,,
Peddapalli,TSD0015,2195.39,"{'min': 25.80363655090332, 'max': 31.530000686645508, 'mean': 28.49793277491409, 'count': 582, 'sum': 16585.796875, 'median': 28.422237396240234}","(79.11294947900006, 18.385471986000027, 79.83268954900007, 18.854875013000026)",01-01-2023.geojson,,,,,,
Rajanna Sircilla,TSD0016,1897.97,"{'min': 25.168333053588867, 'max': 31.46583366394043, 'mean': 28.85702659970238, 'count': 504, 'sum': 14543.94140625, 'median': 28.87125015258789}","(78.52078465300008, 18.21376387500004, 79.02266919100003, 18.69041016700004)",01-01-2023.geojson,,,,,,
Sangareddy,TSD0017,4460.37,"{'min': 23.50119972229004, 'max': 34.25583267211914, 'mean': 31.136223825467688, 'count': 1176, 'sum': 36616.19921875, 'median': 31.571199417114258}","(77.44416825100006, 17.42785604100004, 78.44886573200006, 18.309307690000026)",01-01-2023.geojson,,,,,,
Siddipet,TSD0018,3637.17,"{'min': 25.24839973449707, 'max': 31.179166793823242, 'mean': 29.232216282894736, 'count': 969, 'sum': 28326.017578125, 'median': 29.309999465942383}","(78.49289586600008, 17.667265188000044, 79.30335584600004, 18.34315846100003)",01-01-2023.geojson,,,,,,
Vikarabad,TSD0019,3618.96,"{'min': 28.261999130249023, 'max': 34.02916717529297, 'mean': 31.692810187632134, 'count': 946, 'sum': 29981.3984375, 'median': 31.863033294677734}","(77.36247981800005, 16.90300025500005, 78.07315782100005, 17.637813938000022)",01-01-2023.geojson,,,,,,
Wanaparthy,TSD0020,2174.67,"{'min': 24.78499984741211, 'max': 33.1966667175293, 'mean': 30.556667989273205, 'count': 571, 'sum': 17447.857421875, 'median': 30.621665954589844}","(77.65718116, 15.94285645900004, 78.31347526600007, 16.626992442000073)",01-01-2023.geojson,,,,,,
Warangal Rural,TSD0021,2139.98,"{'min': 25.97960090637207, 'max': 30.86652183532715, 'mean': 29.140830232049037, 'count': 571, 'sum': 16639.4140625, 'median': 29.200435638427734}","(79.47950597500005, 17.619303173000105, 80.04124404200007, 18.279223933000026)",01-01-2023.geojson,,,,,,
Warangal Urban,TSD0022,1294.45,"{'min': 25.681304931640625, 'max': 30.3630428314209, 'mean': 28.841256893382354, 'count': 340, 'sum': 9806.02734375, 'median': 28.962797164916992}","(79.23082975700004, 17.786163054000042, 79.67163482100005, 18.266255774000058)",01-01-2023.geojson,,,,,,
Yadadri Bhuvanagiri,TSD0023,3422.72,"{'min': 26.125200271606445, 'max': 33.413333892822266, 'mean': 29.72277764289678, 'count': 901, 'sum': 26780.22265625, 'median': 29.834800720214844}","(78.68260567800007, 17.04419639500003, 79.45808114400006, 17.812669696000114)",01-01-2023.geojson,,,,,,
Narayanpet,TSD0024,2380.13,"{'min': 25.429166793823242, 'max': 34.317501068115234, 'mean': 31.651068305032734, 'count': 611, 'sum': 19338.802734375, 'median': 31.7016658782959}","(77.23725451100006, 16.34148046400003, 77.79666638000009, 17.061726844000077)",01-01-2023.geojson,,,,,,
Jogulamba Gadwal,TSD0025,2574.21,"{'min': 24.781665802001953, 'max': 35.086666107177734, 'mean': 31.203806390977444, 'count': 665, 'sum': 20750.53125, 'median': 31.09434700012207}","(77.48561464400007, 15.836429923000026, 78.25321888900004, 16.362950969000053)",01-01-2023.geojson,,,,,,
Rangareddy,TSD0026,4997.54,"{'min': 24.511667251586914, 'max': 33.5525016784668, 'mean': 30.936058830492424, 'count': 1320, 'sum': 40835.59765625, 'median': 30.981433868408203}","(77.92190617600005, 16.744225033000077, 78.84397639500008, 17.522654105000072)",01-01-2023.geojson,,,,,,
Suryapet,TSD0027,3584.22,"{'min': 25.310869216918945, 'max': 32.755001068115234, 'mean': 28.600821516339, 'count': 941, 'sum': 26913.373046875, 'median': 28.572999954223633}","(79.36051795300006, 16.63122235000003, 80.07318026800004, 17.526066134000075)",01-01-2023.geojson,,,,,,
