district_name,uid,area,zonalstat,geometry,source_file,mandal_name,mean_value,max_value,min_value,std_value,bounds
Bhadradri Kothagudem,TSD0001,6974.14,"{'min': 5.814074069480705e-05, 'max': 0.00019631363753338908, 'mean': 8.057860859545502e-05, 'count': 1825, 'sum': 0.14705596068670543, 'median': 7.404429560389412e-05}","(80.20302028700007, 17.190519193000057, 81.31479948400005, 18.238859586000046)",01-01-2023.geojson,,,,,,
Jagtial,TSD0002,2853.09,"{'min': 6.445514899648486e-05, 'max': 0.00010686363593871427, 'mean': 7.121219706474605e-05, 'count': 758, 'sum': 0.05397884537507751, 'median': 6.979557992126451e-05}","(78.51948718900007, 18.563739734000023, 79.29767471800005, 19.07988819600007)",01-01-2023.geojson,,,,,,
Jangoan,TSD0003,2112.71,"{'min': 6.116904503894338e-05, 'max': 7.129118969034899e-05, 'mean': 6.609461376339916e-05, 'count': 559, 'sum': 0.03694688909374013, 'median': 6.584660577733036e-05}","(78.86787166400006, 17.491730369000038, 79.56249112400008, 17.998869741000078)",01-01-2023.geojson,,,,,,
Mulugu,TSD0004,4189.02,"{'min': 6.308623024633588e-05, 'max': 0.0001275439687181037, 'mean': 7.367722481633831e-05, 'count': 1111, 'sum': 0.08185539677095185, 'median': 7.043185707180459e-05}","(79.81612732700006, 17.99631982000011, 80.7937048350002, 18.63260770700009)",01-01-2023.geojson,,,,,,
Kamareddy,TSD0005,3701.83,"{'min': 6.383557510413412e-05, 'max': 7.899355270605015e-05, 'mean': 6.935330404961883e-05, 'count': 977, 'sum': 0.06775817805647759, 'median': 6.93454210340163e-05}","(77.52089201100006, 18.068441783000026, 78.56926485100007, 18.558842766000055)",01-01-2023.geojson,,,,,,
Karimnagar,TSD0006,2127.79,"{'min': 6.927000054475552e-05, 'max': 9.365707647999486e-05, 'mean': 7.889449445882949e-05, 'count': 559, 'sum': 0.04410202240248569, 'median': 7.863860577623117e-05}","(78.94956144100007, 18.132462591000035, 79.58025617800001, 18.678822129000025)",01-01-2023.geojson,,,,,,
Khammam,TSD0007,4491.25,"{'min': 6.12148968528581e-05, 'max': 9.937260902320433e-05, 'mean': 7.439219422283003e-05, 'count': 1160, 'sum': 0.08629494529848283, 'median': 7.406173205359504e-05}","(79.80212475200005, 16.768789670000046, 80.92560532200008, 17.577896090000024)",01-01-2023.geojson,,,,,,
Mahabubabad,TSD0008,3551.04,"{'min': 6.405257781094342e-05, 'max': 7.756316975604606e-05, 'mean': 7.107912739756812e-05, 'count': 933, 'sum': 0.06631682586193106, 'median': 7.140049871793585e-05}","(79.51293497700004, 17.321621569000058, 80.32312548900006, 18.106543834000092)",01-01-2023.geojson,,,,,,
Mancherial,TSD0009,3909.4,"{'min': 6.48082996393185e-05, 'max': 0.0002659606004746143, 'mean': 0.00010649605455429686, 'count': 1041, 'sum': 0.11086239279102303, 'median': 8.967209884826625e-05}","(78.87934684700008, 18.672040560000028, 79.96247775100005, 19.288073780000047)",01-01-2023.geojson,,,,,,
Medak,TSD0010,2771.68,"{'min': 6.416753395185045e-05, 'max': 8.631514660004402e-05, 'mean': 7.40772435649162e-05, 'count': 721, 'sum': 0.05340969261030458, 'median': 7.370555537290152e-05}","(77.79480732300004, 17.664489015000072, 78.58893089700007, 18.215476757000033)",01-01-2023.geojson,,,,,,
