district_name,uid,area,zonalstat,geometry,source_file,mandal_name,mean_value,max_value,min_value,std_value,bounds
Bhadradri Kothagudem,TSD0001,6974.14,"{'min': 95.34977722167969, 'max': 129.79330444335938, 'mean': 117.68453788423975, 'count': 29181, 'sum': 3434152.5, 'median': 120.61331939697266}","(80.20302028700007, 17.190519193000057, 81.31479948400005, 18.238859586000046)",01-01-2023.geojson,,,,,,
Jagtial,TSD0002,2853.09,"{'min': 99.32720947265625, 'max': 119.78384399414062, 'mean': 108.24087455611529, 'count': 12109, 'sum': 1310688.75, 'median': 106.7130126953125}","(78.51948718900007, 18.563739734000023, 79.29767471800005, 19.07988819600007)",01-01-2023.geojson,,,,,,
Jangoan,TSD0003,2112.71,"{'min': 92.1348876953125, 'max': 108.41509246826172, 'mean': 103.4845993158367, 'count': 8916, 'sum': 922668.6875, 'median': 102.89929962158203}","(78.86787166400006, 17.491730369000038, 79.56249112400008, 17.998869741000078)",01-01-2023.geojson,,,,,,
Mulugu,TSD0004,4189.02,"{'min': 90.10081481933594, 'max': 120.61331939697266, 'mean': 105.50166807432433, 'count': 17760, 'sum': 1873709.625, 'median': 107.30298614501953}","(79.81612732700006, 17.99631982000011, 80.7937048350002, 18.63260770700009)",01-01-2023.geojson,,,,,,
Kamareddy,TSD0005,3701.83,"{'min': 92.85888671875, 'max': 101.06231689453125, 'mean': 96.568044161005, 'count': 15602, 'sum': 1506654.625, 'median': 96.5571517944336}","(77.52089201100006, 18.068441783000026, 78.56926485100007, 18.558842766000055)",01-01-2023.geojson,,,,,,
Karimnagar,TSD0006,2127.79,"{'min': 99.27334594726562, 'max': 117.38219451904297, 'mean': 107.6610659602796, 'count': 9013, 'sum': 970349.1875, 'median': 105.50328826904297}","(78.94956144100007, 18.132462591000035, 79.58025617800001, 18.678822129000025)",01-01-2023.geojson,,,,,,
Khammam,TSD0007,4491.25,"{'min': 109.50090026855469, 'max': 122.62776947021484, 'mean': 117.4838921321836, 'count': 18671, 'sum': 2193541.75, 'median': 117.2960433959961}","(79.80212475200005, 16.768789670000046, 80.92560532200008, 17.577896090000024)",01-01-2023.geojson,,,,,,
Mahabubabad,TSD0008,3551.04,"{'min': 107.20008087158203, 'max': 117.2960433959961, 'mean': 112.0168232393897, 'count': 15009, 'sum': 1681260.5, 'median': 111.88419342041016}","(79.51293497700004, 17.321621569000058, 80.32312548900006, 18.106543834000092)",01-01-2023.geojson,,,,,,
Mancherial,TSD0009,3909.4,"{'min': 97.28697204589844, 'max': 119.78384399414062, 'mean': 114.77149252828362, 'count': 16529, 'sum': 1897058.0, 'median': 115.533935546875}","(78.87934684700008, 18.672040560000028, 79.96247775100005, 19.288073780000047)",01-01-2023.geojson,,,,,,
Medak,TSD0010,2771.68,"{'min': 92.21617889404297, 'max': 96.36457824707031, 'mean': 94.26392448317102, 'count': 11706, 'sum': 1103453.5, 'median': 94.43901062011719}","(77.79480732300004, 17.664489015000072, 78.58893089700007, 18.215476757000033)",01-01-2023.geojson,,,,,,
