district_name,uid,area,zonalstat,geometry,source_file,mandal_name,mean_value,max_value,min_value,std_value,bounds
Bhadradri Kothagudem,TSD0001,6974.14,"{'min': 0.15146537125110626, 'max': 0.2537960112094879, 'mean': 0.1894513023062928, 'count': 1825, 'sum': 345.7486267089844, 'median': 0.19091986119747162}","(80.20302028700007, 17.190519193000057, 81.31479948400005, 18.238859586000046)",28-02-2022.geojson,,,,,,
Jagtial,TSD0002,2853.09,"{'min': 0.3313184678554535, 'max': 0.3963053524494171, 'mean': 0.3691442484591441, 'count': 758, 'sum': 279.81134033203125, 'median': 0.3744136393070221}","(78.51948718900007, 18.563739734000023, 79.29767471800005, 19.07988819600007)",28-02-2022.geojson,,,,,,
Jangoan,TSD0003,2112.71,"{'min': 0.2838965952396393, 'max': 0.3778013288974762, 'mean': 0.3356428606992118, 'count': 559, 'sum': 187.62435913085938, 'median': 0.33826372027397156}","(78.86787166400006, 17.491730369000038, 79.56249112400008, 17.998869741000078)",28-02-2022.geojson,,,,,,
Mulugu,TSD0004,4189.02,"{'min': 0.1859060674905777, 'max': 0.33660998940467834, 'mean': 0.22469488464959778, 'count': 1111, 'sum': 249.63601684570312, 'median': 0.2092251181602478}","(79.81612732700006, 17.99631982000011, 80.7937048350002, 18.63260770700009)",28-02-2022.geojson,,,,,,
Kamareddy,TSD0005,3701.83,"{'min': 0.18879221379756927, 'max': 0.36795884370803833, 'mean': 0.3186816993486918, 'count': 977, 'sum': 311.3520202636719, 'median': 0.3359983563423157}","(77.52089201100006, 18.068441783000026, 78.56926485100007, 18.558842766000055)",28-02-2022.geojson,,,,,,
Karimnagar,TSD0006,2127.79,"{'min': 0.34495851397514343, 'max': 0.3958909809589386, 'mean': 0.38380909819082626, 'count': 559, 'sum': 214.54928588867188, 'median': 0.3868059515953064}","(78.94956144100007, 18.132462591000035, 79.58025617800001, 18.678822129000025)",28-02-2022.geojson,,,,,,
Khammam,TSD0007,4491.25,"{'min': 0.1626289188861847, 'max': 0.3619392514228821, 'mean': 0.2657861117658944, 'count': 1160, 'sum': 308.3118896484375, 'median': 0.26477187871932983}","(79.80212475200005, 16.768789670000046, 80.92560532200008, 17.577896090000024)",28-02-2022.geojson,,,,,,
Mahabubabad,TSD0008,3551.04,"{'min': 0.18604601919651031, 'max': 0.39572277665138245, 'mean': 0.29960961050542606, 'count': 933, 'sum': 279.5357666015625, 'median': 0.29127323627471924}","(79.51293497700004, 17.321621569000058, 80.32312548900006, 18.106543834000092)",28-02-2022.geojson,,,,,,
Mancherial,TSD0009,3909.4,"{'min': 0.17350861430168152, 'max': 0.38386279344558716, 'mean': 0.2684093405717159, 'count': 1041, 'sum': 279.41412353515625, 'median': 0.2663920819759369}","(78.87934684700008, 18.672040560000028, 79.96247775100005, 19.288073780000047)",28-02-2022.geojson,,,,,,
Medak,TSD0010,2771.68,"{'min': 0.2523129880428314, 'max': 0.36795884370803833, 'mean': 0.3275091247981861, 'count': 721, 'sum': 236.1340789794922, 'median': 0.33406582474708557}","(77.79480732300004, 17.664489015000072, 78.58893089700007, 18.215476757000033)",28-02-2022.geojson,,,,,,
Nagarkurnool,TSD0011,6399.07,"{'min': 0.1366022378206253, 'max': 0.2322944700717926, 'mean': 0.1795108369241916, 'count': 1639, 'sum': 294.21826171875, 'median': 0.17842969298362732}","(78.10083116400006, 16.00532167600005, 79.23432760400004, 16.830959432000043)",28-02-2022.geojson,,,,,,
Nalgonda,TSD0012,7218.26,"{'min': 0.13819430768489838, 'max': 0.40535596013069153, 'mean': 0.27457675832919975, 'count': 1890, 'sum': 518.9500732421875, 'median': 0.2820988595485687}","(78.62614167300006, 16.35584791900004, 79.70200312500003, 17.35996707100003)",28-02-2022.geojson,,,,,,
Nirmal,TSD0013,3729.13,"{'min': 0.21363626420497894, 'max': 0.3869514763355255, 'mean': 0.3035719300856143, 'count': 991, 'sum': 300.83978271484375, 'median': 0.31194326281547546}","(77.76173454100007, 18.84522452500005, 78.95237500500008, 19.342882151000026)",28-02-2022.geojson,,,,,,
Nizamabad,TSD0014,4168.33,"{'min': 0.25022071599960327, 'max': 0.4056546092033386, 'mean': 0.34949800385657925, 'count': 1101, 'sum': 384.79730224609375, 'median': 0.3481966257095337}","(77.73094369300003, 18.43404349700006, 78.64029038200005, 19.015710890000037)",28-02-2022.geojson,,,,,,
Peddapalli,TSD0015,2195.39,"{'min': 0.2899094521999359, 'max': 0.3953569233417511, 'mean': 0.35975526370543387, 'count': 582, 'sum': 209.3775634765625, 'median': 0.36567622423171997}","(79.11294947900006, 18.385471986000027, 79.83268954900007, 18.854875013000026)",28-02-2022.geojson,,,,,,
Rajanna Sircilla,TSD0016,1897.97,"{'min': 0.347493439912796, 'max': 0.3963053524494171, 'mean': 0.37682006472633, 'count': 504, 'sum': 189.9173126220703, 'median': 0.37755677103996277}","(78.52078465300008, 18.21376387500004, 79.02266919100003, 18.69041016700004)",28-02-2022.geojson,,,,,,
Sangareddy,TSD0017,4460.37,"{'min': 0.1742209643125534, 'max': 0.3519785702228546, 'mean': 0.24226698583486128, 'count': 1176, 'sum': 284.9059753417969, 'median': 0.2436913549900055}","(77.44416825100006, 17.42785604100004, 78.44886573200006, 18.309307690000026)",28-02-2022.geojson,,,,,,
Siddipet,TSD0018,3637.17,"{'min': 0.26804405450820923, 'max': 0.3905736207962036, 'mean': 0.3518956738482811, 'count': 969, 'sum': 340.9869079589844, 'median': 0.35780733823776245}","(78.49289586600008, 17.667265188000044, 79.30335584600004, 18.34315846100003)",28-02-2022.geojson,,,,,,
Vikarabad,TSD0019,3618.96,"{'min': 0.16571439802646637, 'max': 0.22522468864917755, 'mean': 0.1866561050898933, 'count': 946, 'sum': 176.57667541503906, 'median': 0.18532957136631012}","(77.36247981800005, 16.90300025500005, 78.07315782100005, 17.637813938000022)",28-02-2022.geojson,,,,,,
Wanaparthy,TSD0020,2174.67,"{'min': 0.1787204146385193, 'max': 0.25666359066963196, 'mean': 0.2219283843833803, 'count': 571, 'sum': 126.72110748291016, 'median': 0.2290215790271759}","(77.65718116, 15.94285645900004, 78.31347526600007, 16.626992442000073)",28-02-2022.geojson,,,,,,
