district_name,uid,area,zonalstat,geometry,source_file,mandal_name,mean_value,max_value,min_value,std_value,bounds
Bhadradri Kothagudem,TSD0001,6974.14,"{'min': 24.62103271484375, 'max': 26.16729736328125, 'mean': 25.494821856098792, 'count': 62, 'sum': 1580.678955078125, 'median': 25.508804321289062}","(80.20302028700007, 17.190519193000057, 81.31479948400005, 18.238859586000046)",28-02-2022.geojson,,,,,,
Jagtial,TSD0002,2853.09,"{'min': 23.874786376953125, 'max': 24.81805419921875, 'mean': 24.27643291766827, 'count': 26, 'sum': 631.187255859375, 'median': 24.2359619140625}","(78.51948718900007, 18.563739734000023, 79.29767471800005, 19.07988819600007)",28-02-2022.geojson,,,,,,
Jangoan,TSD0003,2112.71,"{'min': 23.349395751953125, 'max': 24.42523193359375, 'mean': 23.967784680818255, 'count': 19, 'sum': 455.3879089355469, 'median': 24.090911865234375}","(78.86787166400006, 17.491730369000038, 79.56249112400008, 17.998869741000078)",28-02-2022.geojson,,,,,,
Mulugu,TSD0004,4189.02,"{'min': 23.844940185546875, 'max': 26.7332763671875, 'mean': 25.406809213999157, 'count': 37, 'sum': 940.0519409179688, 'median': 25.44134521484375}","(79.81612732700006, 17.99631982000011, 80.7937048350002, 18.63260770700009)",28-02-2022.geojson,,,,,,
Kamareddy,TSD0005,3701.83,"{'min': 23.788818359375, 'max': 25.218048095703125, 'mean': 24.492648853975183, 'count': 34, 'sum': 832.7500610351562, 'median': 24.3726806640625}","(77.52089201100006, 18.068441783000026, 78.56926485100007, 18.558842766000055)",28-02-2022.geojson,,,,,,
Karimnagar,TSD0006,2127.79,"{'min': 24.34283447265625, 'max': 25.1810302734375, 'mean': 24.791190253363716, 'count': 18, 'sum': 446.2414245605469, 'median': 24.827606201171875}","(78.94956144100007, 18.132462591000035, 79.58025617800001, 18.678822129000025)",28-02-2022.geojson,,,,,,
Khammam,TSD0007,4491.25,"{'min': 24.74163818359375, 'max': 26.081329345703125, 'mean': 25.3915390386814, 'count': 41, 'sum': 1041.0531005859375, 'median': 25.393585205078125}","(79.80212475200005, 16.768789670000046, 80.92560532200008, 17.577896090000024)",28-02-2022.geojson,,,,,,
Mahabubabad,TSD0008,3551.04,"{'min': 24.45269775390625, 'max': 25.155975341796875, 'mean': 24.844945447198278, 'count': 29, 'sum': 720.50341796875, 'median': 24.83477783203125}","(79.51293497700004, 17.321621569000058, 80.32312548900006, 18.106543834000092)",28-02-2022.geojson,,,,,,
Mancherial,TSD0009,3909.4,"{'min': 23.2359619140625, 'max': 25.060455322265625, 'mean': 24.236753463745117, 'count': 32, 'sum': 775.5761108398438, 'median': 24.245529174804688}","(78.87934684700008, 18.672040560000028, 79.96247775100005, 19.288073780000047)",28-02-2022.geojson,,,,,,
Medak,TSD0010,2771.68,"{'min': 23.55596923828125, 'max': 24.56134033203125, 'mean': 23.9612255859375, 'count': 25, 'sum': 599.0306396484375, 'median': 23.831787109375}","(77.79480732300004, 17.664489015000072, 78.58893089700007, 18.215476757000033)",28-02-2022.geojson,,,,,,
