district_name,uid,area,min,max,mean,count,sum,median,geometry,source_file,bounds
Bhadradri Kothagudem,TSD0001,6974.14,24.367647171020508,31.950952529907227,28.63884845890411,1825.0,52265.8984375,28.768999099731445,"(80.20302028700007, 17.190519193000057, 81.31479948400005, 18.238859586000046)",01-01-2023.geojson,
Jagtial,TSD0002,2853.09,26.049129486083984,31.104736328125,28.360240765171504,758.0,21497.0625,28.235605239868164,"(78.51948718900007, 18.563739734000023, 79.29767471800005, 19.07988819600007)",01-01-2023.geojson,
Jangoan,TSD0003,2112.71,26.912609100341797,31.70833396911621,29.556707010286225,559.0,16522.19921875,29.625652313232422,"(78.86787166400006, 17.491730369000038, 79.56249112400008, 17.998869741000078)",01-01-2023.geojson,
Mulugu,TSD0004,4189.02,25.05181884765625,32.7827262878418,28.009278662241226,1111.0,31118.30859375,27.920000076293945,"(79.81612732700006, 17.99631982000011, 80.7937048350002, 18.63260770700009)",01-01-2023.geojson,
Kamareddy,TSD0005,3701.83,23.297693252563477,33.55720138549805,29.148235590455474,977.0,28477.826171875,29.175216674804688,"(77.52089201100006, 18.068441783000026, 78.56926485100007, 18.558842766000055)",01-01-2023.geojson,
Karimnagar,TSD0006,2127.79,24.14384651184082,30.163333892822266,28.340607180791594,559.0,15842.3994140625,28.466522216796875,"(78.94956144100007, 18.132462591000035, 79.58025617800001, 18.678822129000025)",01-01-2023.geojson,
Khammam,TSD0007,4491.25,24.166471481323242,31.527999877929688,28.895767106681035,1160.0,33519.08984375,29.068958282470703,"(79.80212475200005, 16.768789670000046, 80.92560532200008, 17.577896090000024)",01-01-2023.geojson,
Mahabubabad,TSD0008,3551.04,25.476316452026367,31.32428550720215,28.814603848472668,933.0,26884.025390625,28.850000381469727,"(79.51293497700004, 17.321621569000058, 80.32312548900006, 18.106543834000092)",01-01-2023.geojson,
Mancherial,TSD0009,3909.4,25.42523765563965,32.02727127075195,28.96285122478386,1041.0,30150.328125,29.049999237060547,"(78.87934684700008, 18.672040560000028, 79.96247775100005, 19.288073780000047)",01-01-2023.geojson,
Medak,TSD0010,2771.68,23.673076629638672,32.645198822021484,29.18264021324549,721.0,21040.68359375,29.15959930419922,"(77.79480732300004, 17.664489015000072, 78.58893089700007, 18.215476757000033)",01-01-2023.geojson,
Nagarkurnool,TSD0011,6399.07,25.65571403503418,33.23695755004883,29.92529028752288,1639.0,49047.55078125,30.333999633789062,"(78.10083116400006, 16.00532167600005, 79.23432760400004, 16.830959432000043)",01-01-2023.geojson,
Nalgonda,TSD0012,7218.26,25.043912887573242,34.22666549682617,29.83693783068783,1890.0,56391.8125,29.90999984741211,"(78.62614167300006, 16.35584791900004, 79.70200312500003, 17.35996707100003)",01-01-2023.geojson,
Nirmal,TSD0013,3729.13,23.30384635925293,32.10279846191406,28.651062689202824,991.0,28393.203125,28.76555633544922,"(77.76173454100007, 18.84522452500005, 78.95237500500008, 19.342882151000026)",01-01-2023.geojson,
Nizamabad,TSD0014,4168.33,23.323076248168945,31.063846588134766,27.6595176260218,1101.0,30453.12890625,27.734800338745117,"(77.73094369300003, 18.43404349700006, 78.64029038200005, 19.015710890000037)",01-01-2023.geojson,
Peddapalli,TSD0015,2195.39,25.80363655090332,31.530000686645508,28.49793277491409,582.0,16585.796875,28.422237396240234,"(79.11294947900006, 18.385471986000027, 79.83268954900007, 18.854875013000026)",01-01-2023.geojson,
Rajanna Sircilla,TSD0016,1897.97,25.168333053588867,31.46583366394043,28.85702659970238,504.0,14543.94140625,28.87125015258789,"(78.52078465300008, 18.21376387500004, 79.02266919100003, 18.69041016700004)",01-01-2023.geojson,
Sangareddy,TSD0017,4460.37,23.50119972229004,34.25583267211914,31.136223825467688,1176.0,36616.19921875,31.571199417114258,"(77.44416825100006, 17.42785604100004, 78.44886573200006, 18.309307690000026)",01-01-2023.geojson,
Siddipet,TSD0018,3637.17,25.24839973449707,31.179166793823242,29.232216282894736,969.0,28326.017578125,29.309999465942383,"(78.49289586600008, 17.667265188000044, 79.30335584600004, 18.34315846100003)",01-01-2023.geojson,
Vikarabad,TSD0019,3618.96,28.261999130249023,34.02916717529297,31.692810187632134,946.0,29981.3984375,31.863033294677734,"(77.36247981800005, 16.90300025500005, 78.07315782100005, 17.637813938000022)",01-01-2023.geojson,
