district_name,uid,area,min,max,mean,count,sum,median,geometry,source_file,bounds
Bhadradri Kothagudem,TSD0001,6974.14,5.814074069480705e-05,0.00019631363753338908,8.057860859545502e-05,1825.0,0.14705596068670543,7.404429560389412e-05,"(80.20302028700007, 17.190519193000057, 81.31479948400005, 18.238859586000046)",01-01-2023.geojson,
Jagtial,TSD0002,2853.09,6.445514899648486e-05,0.00010686363593871427,7.121219706474605e-05,758.0,0.05397884537507751,6.979557992126451e-05,"(78.51948718900007, 18.563739734000023, 79.29767471800005, 19.07988819600007)",01-01-2023.geojson,
Jangoan,TSD0003,2112.71,6.116904503894338e-05,7.129118969034899e-05,6.609461376339916e-05,559.0,0.03694688909374013,6.584660577733036e-05,"(78.86787166400006, 17.491730369000038, 79.56249112400008, 17.998869741000078)",01-01-2023.geojson,
Mulugu,TSD0004,4189.02,6.308623024633588e-05,0.0001275439687181037,7.367722481633831e-05,1111.0,0.08185539677095185,7.043185707180459e-05,"(79.81612732700006, 17.99631982000011, 80.7937048350002, 18.63260770700009)",01-01-2023.geojson,
Kamareddy,TSD0005,3701.83,6.383557510413412e-05,7.899355270605015e-05,6.935330404961883e-05,977.0,0.06775817805647759,6.93454210340163e-05,"(77.52089201100006, 18.068441783000026, 78.56926485100007, 18.558842766000055)",01-01-2023.geojson,
Karimnagar,TSD0006,2127.79,6.927000054475552e-05,9.365707647999486e-05,7.889449445882949e-05,559.0,0.04410202240248569,7.863860577623117e-05,"(78.94956144100007, 18.132462591000035, 79.58025617800001, 18.678822129000025)",01-01-2023.geojson,
Khammam,TSD0007,4491.25,6.12148968528581e-05,9.937260902320433e-05,7.439219422283003e-05,1160.0,0.08629494529848283,7.406173205359504e-05,"(79.80212475200005, 16.768789670000046, 80.92560532200008, 17.577896090000024)",01-01-2023.geojson,
Mahabubabad,TSD0008,3551.04,6.405257781094342e-05,7.756316975604606e-05,7.107912739756812e-05,933.0,0.06631682586193106,7.140049871793585e-05,"(79.51293497700004, 17.321621569000058, 80.32312548900006, 18.106543834000092)",01-01-2023.geojson,
Mancherial,TSD0009,3909.4,6.48082996393185e-05,0.0002659606004746143,0.00010649605455429686,1041.0,0.11086239279102303,8.967209884826625e-05,"(78.87934684700008, 18.672040560000028, 79.96247775100005, 19.288073780000047)",01-01-2023.geojson,
Medak,TSD0010,2771.68,6.416753395185045e-05,8.631514660004402e-05,7.40772435649162e-05,721.0,0.05340969261030458,7.370555537290152e-05,"(77.79480732300004, 17.664489015000072, 78.58893089700007, 18.215476757000033)",01-01-2023.geojson,
Nagarkurnool,TSD0011,6399.07,5.1076478888789894e-05,6.711037226274525e-05,5.8057658878400986e-05,1639.0,0.09515650290169922,5.7943078575244805e-05,"(78.10083116400006, 16.00532167600005, 79.23432760400004, 16.830959432000043)",01-01-2023.geojson,
Nalgonda,TSD0012,7218.26,5.456910547158995e-05,9.845719140080502e-05,6.421139674030651e-05,1890.0,0.1213595398391793,6.286459699563068e-05,"(78.62614167300006, 16.35584791900004, 79.70200312500003, 17.35996707100003)",01-01-2023.geojson,
Nirmal,TSD0013,3729.13,6.433511421661472e-05,7.527260603078166e-05,6.915059036097099e-05,991.0,0.06852823504772225,6.916382069255858e-05,"(77.76173454100007, 18.84522452500005, 78.95237500500008, 19.342882151000026)",01-01-2023.geojson,
Nizamabad,TSD0014,4168.33,6.242252480539369e-05,7.458507074131937e-05,6.761245203171432e-05,1101.0,0.07444130968691746,6.744295109942235e-05,"(77.73094369300003, 18.43404349700006, 78.64029038200005, 19.015710890000037)",01-01-2023.geojson,
Peddapalli,TSD0015,2195.39,7.854385201819198e-05,0.0002909223300383696,0.00011577997614737497,582.0,0.06738394611777224,0.00010098857910543262,"(79.11294947900006, 18.385471986000027, 79.83268954900007, 18.854875013000026)",01-01-2023.geojson,
Rajanna Sircilla,TSD0016,1897.97,6.456263590531814e-05,8.026338857862293e-05,7.234867902743052e-05,504.0,0.03646373422982498,7.283609182899217e-05,"(78.52078465300008, 18.21376387500004, 79.02266919100003, 18.69041016700004)",01-01-2023.geojson,
Sangareddy,TSD0017,4460.37,6.347723165121972e-05,0.000122849070287296,7.509227966083693e-05,1176.0,0.08830852088114423,7.152962120943675e-05,"(77.44416825100006, 17.42785604100004, 78.44886573200006, 18.309307690000026)",01-01-2023.geojson,
Siddipet,TSD0018,3637.17,6.395014274134316e-05,8.829178863861138e-05,7.252699050770532e-05,969.0,0.07027865380196645,7.200457071777794e-05,"(78.49289586600008, 17.667265188000044, 79.30335584600004, 18.34315846100003)",01-01-2023.geojson,
Vikarabad,TSD0019,3618.96,6.375346874188744e-05,0.0001260079655904562,7.044956208738518e-05,946.0,0.06664528573466638,6.94799189317151e-05,"(77.36247981800005, 16.90300025500005, 78.07315782100005, 17.637813938000022)",01-01-2023.geojson,
Wanaparthy,TSD0020,2174.67,5.767835289373694e-05,6.739691825067597e-05,6.240625294537984e-05,571.0,0.035633970431811886,6.240316814555526e-05,"(77.65718116, 15.94285645900004, 78.31347526600007, 16.626992442000073)",01-01-2023.geojson,
