district_name,uid,area,min,max,mean,count,sum,median,geometry,source_file,bounds
Bhadradri Kothagudem,TSD0001,6974.14,24.62103271484375,26.16729736328125,25.494821856098792,62.0,1580.678955078125,25.508804321289062,"(80.20302028700007, 17.190519193000057, 81.31479948400005, 18.238859586000046)",28-02-2022.geojson,
Jagtial,TSD0002,2853.09,23.874786376953125,24.81805419921875,24.27643291766827,26.0,631.187255859375,24.2359619140625,"(78.51948718900007, 18.563739734000023, 79.29767471800005, 19.07988819600007)",28-02-2022.geojson,
Jangoan,TSD0003,2112.71,23.349395751953125,24.42523193359375,23.967784680818255,19.0,455.3879089355469,24.090911865234375,"(78.86787166400006, 17.491730369000038, 79.56249112400008, 17.998869741000078)",28-02-2022.geojson,
Mulugu,TSD0004,4189.02,23.844940185546875,26.7332763671875,25.406809213999157,37.0,940.0519409179688,25.44134521484375,"(79.81612732700006, 17.99631982000011, 80.7937048350002, 18.63260770700009)",28-02-2022.geojson,
Kamareddy,TSD0005,3701.83,23.788818359375,25.218048095703125,24.492648853975183,34.0,832.7500610351562,24.3726806640625,"(77.52089201100006, 18.068441783000026, 78.56926485100007, 18.558842766000055)",28-02-2022.geojson,
Karimnagar,TSD0006,2127.79,24.34283447265625,25.1810302734375,24.791190253363716,18.0,446.2414245605469,24.827606201171875,"(78.94956144100007, 18.132462591000035, 79.58025617800001, 18.678822129000025)",28-02-2022.geojson,
Khammam,TSD0007,4491.25,24.74163818359375,26.081329345703125,25.3915390386814,41.0,1041.0531005859375,25.393585205078125,"(79.80212475200005, 16.768789670000046, 80.92560532200008, 17.577896090000024)",28-02-2022.geojson,
Mahabubabad,TSD0008,3551.04,24.45269775390625,25.155975341796875,24.844945447198278,29.0,720.50341796875,24.83477783203125,"(79.51293497700004, 17.321621569000058, 80.32312548900006, 18.106543834000092)",28-02-2022.geojson,
Mancherial,TSD0009,3909.4,23.2359619140625,25.060455322265625,24.236753463745117,32.0,775.5761108398438,24.245529174804688,"(78.87934684700008, 18.672040560000028, 79.96247775100005, 19.288073780000047)",28-02-2022.geojson,
Medak,TSD0010,2771.68,23.55596923828125,24.56134033203125,23.9612255859375,25.0,599.0306396484375,23.831787109375,"(77.79480732300004, 17.664489015000072, 78.58893089700007, 18.215476757000033)",28-02-2022.geojson,
Nagarkurnool,TSD0011,6399.07,22.723724365234375,25.47357177734375,24.1423388671875,50.0,1207.116943359375,24.164337158203125,"(78.10083116400006, 16.00532167600005, 79.23432760400004, 16.830959432000043)",28-02-2022.geojson,
Nalgonda,TSD0012,7218.26,23.497467041015625,26.379852294921875,24.937423706054688,64.0,1595.9951171875,24.844329833984375,"(78.62614167300006, 16.35584791900004, 79.70200312500003, 17.35996707100003)",28-02-2022.geojson,
Nirmal,TSD0013,3729.13,22.765533447265625,24.37628173828125,23.840824127197266,32.0,762.9063720703125,23.959564208984375,"(77.76173454100007, 18.84522452500005, 78.95237500500008, 19.342882151000026)",28-02-2022.geojson,
Nizamabad,TSD0014,4168.33,23.9189453125,25.251495361328125,24.517161649816178,34.0,833.58349609375,24.491485595703125,"(77.73094369300003, 18.43404349700006, 78.64029038200005, 19.015710890000037)",28-02-2022.geojson,
Peddapalli,TSD0015,2195.39,24.4932861328125,25.054473876953125,24.766315036349827,18.0,445.7936706542969,24.745819091796875,"(79.11294947900006, 18.385471986000027, 79.83268954900007, 18.854875013000026)",28-02-2022.geojson,
Rajanna Sircilla,TSD0016,1897.97,23.909393310546875,24.68670654296875,24.314477920532227,16.0,389.0316467285156,24.259262084960938,"(78.52078465300008, 18.21376387500004, 79.02266919100003, 18.69041016700004)",28-02-2022.geojson,
Sangareddy,TSD0017,4460.37,23.327911376953125,24.91357421875,24.168843587239582,36.0,870.078369140625,24.255081176757812,"(77.44416825100006, 17.42785604100004, 78.44886573200006, 18.309307690000026)",28-02-2022.geojson,
Siddipet,TSD0018,3637.17,22.997161865234375,24.612701416015625,23.831216746363147,29.0,691.1052856445312,23.767303466796875,"(78.49289586600008, 17.667265188000044, 79.30335584600004, 18.34315846100003)",28-02-2022.geojson,
Vikarabad,TSD0019,3618.96,23.270599365234375,24.47418212890625,23.870083512931036,29.0,692.232421875,23.864044189453125,"(77.36247981800005, 16.90300025500005, 78.07315782100005, 17.637813938000022)",28-02-2022.geojson,
Wanaparthy,TSD0020,2174.67,23.915374755859375,25.688507080078125,24.725455390082466,18.0,445.0581970214844,24.715377807617188,"(77.65718116, 15.94285645900004, 78.31347526600007, 16.626992442000073)",28-02-2022.geojson,
Warangal Rural,TSD0021,2139.98,24.508819580078125,25.252685546875,24.833745783025567,22.0,546.3424072265625,24.841934204101562,"(79.47950597500005, 17.619303173000105, 80.04124404200007, 18.279223933000026)",28-02-2022.geojson,
Warangal Urban,TSD0022,1294.45,24.314178466796875,25.13568115234375,24.737939453125,10.0,247.37939453125,24.669403076171875,"(79.23082975700004, 17.786163054000042, 79.67163482100005, 18.266255774000058)",28-02-2022.geojson,
Yadadri Bhuvanagiri,TSD0023,3422.72,23.126129150390625,24.4061279296875,23.874949863978795,28.0,668.4985961914062,23.943435668945312,"(78.68260567800007, 17.04419639500003, 79.45808114400006, 17.812669696000114)",28-02-2022.geojson,
Narayanpet,TSD0024,2380.13,23.773284912109375,24.85150146484375,24.323971557617188,20.0,486.47943115234375,24.292083740234375,"(77.23725451100006, 16.34148046400003, 77.79666638000009, 17.061726844000077)",28-02-2022.geojson,
Jogulamba Gadwal,TSD0025,2574.21,24.6903076171875,26.148193359375,25.397161310369317,22.0,558.737548828125,25.427017211914062,"(77.48561464400007, 15.836429923000026, 78.25321888900004, 16.362950969000053)",28-02-2022.geojson,
Rangareddy,TSD0026,4997.54,22.867034912109375,23.997772216796875,23.415396341463413,41.0,960.03125,23.4114990234375,"(77.92190617600005, 16.744225033000077, 78.84397639500008, 17.522654105000072)",28-02-2022.geojson,
Suryapet,TSD0027,3584.22,24.341644287109375,26.083740234375,25.191503064385778,29.0,730.5535888671875,25.081939697265625,"(79.36051795300006, 16.63122235000003, 80.07318026800004, 17.526066134000075)",28-02-2022.geojson,
Medchal Malkajgiri,TSD0028,1088.52,23.208526611328125,23.56195068359375,23.370374891493057,9.0,210.3333740234375,23.341064453125,"(78.34798865200008, 17.361463480000054, 78.75985781500003, 17.70854524600003)",28-02-2022.geojson,
Adilabad,TSD0029,3980.34,23.20611572265625,24.7225341796875,23.830747662168562,33.0,786.4146728515625,23.7398681640625,"(78.17215629700007, 19.17277807100004, 78.97780562900004, 19.91690008100005)",28-02-2022.geojson,
Hyderabad,TSD0030,182.64,23.4879150390625,23.688507080078125,23.588211059570312,2.0,47.176422119140625,23.588211059570312,"(78.38267903300004, 17.293465379000054, 78.55019026600007, 17.483791793000023)",28-02-2022.geojson,
Kumurambheem Asifabad,TSD0031,4495.32,23.043731689453125,24.978057861328125,23.973388671875,36.0,863.0419921875,24.039566040039062,"(78.80016529900007, 19.050559607000025, 79.97913072000006, 19.617151517000025)",28-02-2022.geojson,
Jayashankar Bhupalpally,TSD0032,2946.01,24.7547607421875,25.945220947265625,25.28148905436198,24.0,606.7557373046875,25.236572265625,"(79.55918339200008, 18.156703452000045, 80.34460111152396, 18.869152369000062)",28-02-2022.geojson,
Mahabubnagar,TSD0033,2749.62,22.9530029296875,24.79656982421875,23.72589580829327,26.0,616.873291015625,23.65447998046875,"(77.67537161200016, 16.378530416000103, 78.369893344, 17.01442864699999)",28-02-2022.geojson,
Bhadradri Kothagudem,TSD0001,6974.14,30.51007080078125,33.1907958984375,32.223975396925404,62.0,1997.886474609375,32.4095458984375,"(80.20302028700007, 17.190519193000057, 81.31479948400005, 18.238859586000046)",30-04-2022.geojson,
Jagtial,TSD0002,2853.09,32.398834228515625,33.18927001953125,32.72075477013221,26.0,850.7396240234375,32.72358703613281,"(78.51948718900007, 18.563739734000023, 79.29767471800005, 19.07988819600007)",30-04-2022.geojson,
Jangoan,TSD0003,2112.71,30.6739501953125,31.551727294921875,31.2042236328125,19.0,592.8802490234375,31.2958984375,"(78.86787166400006, 17.491730369000038, 79.56249112400008, 17.998869741000078)",30-04-2022.geojson,
Mulugu,TSD0004,4189.02,31.64056396484375,34.264617919921875,33.11797270903716,37.0,1225.364990234375,33.180084228515625,"(79.81612732700006, 17.99631982000011, 80.7937048350002, 18.63260770700009)",30-04-2022.geojson,
Kamareddy,TSD0005,3701.83,31.2989501953125,33.368499755859375,32.224738625919116,34.0,1095.64111328125,32.13458251953125,"(77.52089201100006, 18.068441783000026, 78.56926485100007, 18.558842766000055)",30-04-2022.geojson,
Karimnagar,TSD0006,2127.79,32.464691162109375,33.336334228515625,32.969017876519096,18.0,593.4423217773438,32.96867370605469,"(78.94956144100007, 18.132462591000035, 79.58025617800001, 18.678822129000025)",30-04-2022.geojson,
Khammam,TSD0007,4491.25,31.02935791015625,31.804473876953125,31.590683355564025,41.0,1295.218017578125,31.65435791015625,"(79.80212475200005, 16.768789670000046, 80.92560532200008, 17.577896090000024)",30-04-2022.geojson,
Mahabubabad,TSD0008,3551.04,31.570098876953125,32.683746337890625,31.887667951912714,29.0,924.7423706054688,31.838165283203125,"(79.51293497700004, 17.321621569000058, 80.32312548900006, 18.106543834000092)",30-04-2022.geojson,
Mancherial,TSD0009,3909.4,31.882598876953125,33.762176513671875,32.92851257324219,32.0,1053.71240234375,33.01158142089844,"(78.87934684700008, 18.672040560000028, 79.96247775100005, 19.288073780000047)",30-04-2022.geojson,
Medak,TSD0010,2771.68,30.609619140625,31.868804931640625,31.15509033203125,25.0,778.8772583007812,31.145782470703125,"(77.79480732300004, 17.664489015000072, 78.58893089700007, 18.215476757000033)",30-04-2022.geojson,
Nagarkurnool,TSD0011,6399.07,29.24322509765625,31.57928466796875,30.78974365234375,50.0,1539.4871826171875,30.861618041992188,"(78.10083116400006, 16.00532167600005, 79.23432760400004, 16.830959432000043)",30-04-2022.geojson,
Nalgonda,TSD0012,7218.26,30.765869140625,32.214996337890625,31.722660064697266,64.0,2030.250244140625,31.685760498046875,"(78.62614167300006, 16.35584791900004, 79.70200312500003, 17.35996707100003)",30-04-2022.geojson,
Nirmal,TSD0013,3729.13,31.663543701171875,33.2520751953125,32.61956024169922,32.0,1043.825927734375,32.673797607421875,"(77.76173454100007, 18.84522452500005, 78.95237500500008, 19.342882151000026)",30-04-2022.geojson,
Nizamabad,TSD0014,4168.33,32.052642822265625,33.527801513671875,32.69181913488052,34.0,1111.5218505859375,32.62860107421875,"(77.73094369300003, 18.43404349700006, 78.64029038200005, 19.015710890000037)",30-04-2022.geojson,
Peddapalli,TSD0015,2195.39,32.84918212890625,33.383819580078125,33.147562662760414,18.0,596.6561279296875,33.174713134765625,"(79.11294947900006, 18.385471986000027, 79.83268954900007, 18.854875013000026)",30-04-2022.geojson,
Rajanna Sircilla,TSD0016,1897.97,32.0020751953125,32.991668701171875,32.56331253051758,16.0,521.0130004882812,32.53363037109375,"(78.52078465300008, 18.21376387500004, 79.02266919100003, 18.69041016700004)",30-04-2022.geojson,
Sangareddy,TSD0017,4460.37,30.258819580078125,32.21807861328125,31.24138726128472,36.0,1124.68994140625,31.2177734375,"(77.44416825100006, 17.42785604100004, 78.44886573200006, 18.309307690000026)",30-04-2022.geojson,
Siddipet,TSD0018,3637.17,30.241973876953125,32.6439208984375,31.40233112203664,29.0,910.6676025390625,31.302032470703125,"(78.49289586600008, 17.667265188000044, 79.30335584600004, 18.34315846100003)",30-04-2022.geojson,
Vikarabad,TSD0019,3618.96,29.908050537109375,31.245330810546875,30.58305832435345,29.0,886.90869140625,30.66632080078125,"(77.36247981800005, 16.90300025500005, 78.07315782100005, 17.637813938000022)",30-04-2022.geojson,
Wanaparthy,TSD0020,2174.67,30.476348876953125,31.27752685546875,30.850301106770832,18.0,555.305419921875,30.821029663085938,"(77.65718116, 15.94285645900004, 78.31347526600007, 16.626992442000073)",30-04-2022.geojson,
Warangal Rural,TSD0021,2139.98,31.6390380859375,33.180084228515625,32.20303067294034,22.0,708.4666748046875,32.18513488769531,"(79.47950597500005, 17.619303173000105, 80.04124404200007, 18.279223933000026)",30-04-2022.geojson,
Warangal Urban,TSD0022,1294.45,31.677337646484375,33.042205810546875,32.210568237304685,10.0,322.1056823730469,32.100128173828125,"(79.23082975700004, 17.786163054000042, 79.67163482100005, 18.266255774000058)",30-04-2022.geojson,
Yadadri Bhuvanagiri,TSD0023,3422.72,30.3721923828125,31.70489501953125,31.103158133370535,28.0,870.888427734375,31.1787109375,"(78.68260567800007, 17.04419639500003, 79.45808114400006, 17.812669696000114)",30-04-2022.geojson,
Narayanpet,TSD0024,2380.13,30.2940673828125,31.57928466796875,30.972369384765624,20.0,619.4473876953125,30.965789794921875,"(77.23725451100006, 16.34148046400003, 77.79666638000009, 17.061726844000077)",30-04-2022.geojson,
Jogulamba Gadwal,TSD0025,2574.21,31.182525634765625,32.150665283203125,31.51474276455966,22.0,693.3243408203125,31.439132690429688,"(77.48561464400007, 15.836429923000026, 78.25321888900004, 16.362950969000053)",30-04-2022.geojson,
Rangareddy,TSD0026,4997.54,29.7640380859375,31.243804931640625,30.430250214367376,41.0,1247.6402587890625,30.4334716796875,"(77.92190617600005, 16.744225033000077, 78.84397639500008, 17.522654105000072)",30-04-2022.geojson,
Suryapet,TSD0027,3584.22,31.416900634765625,31.82745361328125,31.630577350484913,29.0,917.2867431640625,31.6221923828125,"(79.36051795300006, 16.63122235000003, 80.07318026800004, 17.526066134000075)",30-04-2022.geojson,
Medchal Malkajgiri,TSD0028,1088.52,30.284881591796875,30.770477294921875,30.479590521918404,9.0,274.3163146972656,30.42120361328125,"(78.34798865200008, 17.361463480000054, 78.75985781500003, 17.70854524600003)",30-04-2022.geojson,
Adilabad,TSD0029,3980.34,32.38043212890625,34.3994140625,33.39021439985795,33.0,1101.8770751953125,33.17547607421875,"(78.17215629700007, 19.17277807100004, 78.97780562900004, 19.91690008100005)",30-04-2022.geojson,
Hyderabad,TSD0030,182.64,30.454925537109375,30.680084228515625,30.5675048828125,2.0,61.135009765625,30.5675048828125,"(78.38267903300004, 17.293465379000054, 78.55019026600007, 17.483791793000023)",30-04-2022.geojson,
Kumurambheem Asifabad,TSD0031,4495.32,31.8626708984375,34.120635986328125,33.34308878580729,36.0,1200.3511962890625,33.40525817871094,"(78.80016529900007, 19.050559607000025, 79.97913072000006, 19.617151517000025)",30-04-2022.geojson,
Jayashankar Bhupalpally,TSD0032,2946.01,32.87677001953125,33.996551513671875,33.523651123046875,24.0,804.567626953125,33.46575927734375,"(79.55918339200008, 18.156703452000045, 80.34460111152396, 18.869152369000062)",30-04-2022.geojson,
Mahabubnagar,TSD0033,2749.62,29.583282470703125,31.09368896484375,30.37401874248798,26.0,789.7244873046875,30.40972900390625,"(77.67537161200016, 16.378530416000103, 78.369893344, 17.01442864699999)",30-04-2022.geojson,
Bhadradri Kothagudem,TSD0001,6974.14,30.2537841796875,32.060882568359375,31.406102334299394,62.0,1947.1783447265625,31.429672241210938,"(80.20302028700007, 17.190519193000057, 81.31479948400005, 18.238859586000046)",30-06-2022.geojson,
Jagtial,TSD0002,2853.09,29.910552978515625,31.422210693359375,30.71057598407452,26.0,798.4749755859375,30.704437255859375,"(78.51948718900007, 18.563739734000023, 79.29767471800005, 19.07988819600007)",30-06-2022.geojson,
Jangoan,TSD0003,2112.71,29.461395263671875,30.8790283203125,30.22338224712171,19.0,574.2442626953125,30.21795654296875,"(78.86787166400006, 17.491730369000038, 79.56249112400008, 17.998869741000078)",30-06-2022.geojson,
Mulugu,TSD0004,4189.02,29.89862060546875,32.427978515625,31.35771220439189,37.0,1160.2353515625,31.475921630859375,"(79.81612732700006, 17.99631982000011, 80.7937048350002, 18.63260770700009)",30-06-2022.geojson,
Kamareddy,TSD0005,3701.83,28.798828125,30.1612548828125,29.392797133501837,34.0,999.3551025390625,29.335296630859375,"(77.52089201100006, 18.068441783000026, 78.56926485100007, 18.558842766000055)",30-06-2022.geojson,
Karimnagar,TSD0006,2127.79,30.677581787109375,31.549041748046875,31.101698133680557,18.0,559.83056640625,31.115554809570312,"(78.94956144100007, 18.132462591000035, 79.58025617800001, 18.678822129000025)",30-06-2022.geojson,
Khammam,TSD0007,4491.25,30.911865234375,32.120574951171875,31.571646341463413,41.0,1294.4375,31.5968017578125,"(79.80212475200005, 16.768789670000046, 80.92560532200008, 17.577896090000024)",30-06-2022.geojson,
Mahabubabad,TSD0008,3551.04,30.316436767578125,31.523681640625,31.0272216796875,29.0,899.7894287109375,31.175994873046875,"(79.51293497700004, 17.321621569000058, 80.32312548900006, 18.106543834000092)",30-06-2022.geojson,
Mancherial,TSD0009,3909.4,29.906097412109375,31.789306640625,31.162086486816406,32.0,997.186767578125,31.296096801757812,"(78.87934684700008, 18.672040560000028, 79.96247775100005, 19.288073780000047)",30-06-2022.geojson,
Medak,TSD0010,2771.68,28.52874755859375,29.444976806640625,28.9415576171875,25.0,723.5389404296875,28.903289794921875,"(77.79480732300004, 17.664489015000072, 78.58893089700007, 18.215476757000033)",30-06-2022.geojson,
Nagarkurnool,TSD0011,6399.07,26.64105224609375,30.45074462890625,28.4627001953125,50.0,1423.135009765625,28.357147216796875,"(78.10083116400006, 16.00532167600005, 79.23432760400004, 16.830959432000043)",30-06-2022.geojson,
Nalgonda,TSD0012,7218.26,28.968963623046875,32.081787109375,30.914257049560547,64.0,1978.512451171875,31.017807006835938,"(78.62614167300006, 16.35584791900004, 79.70200312500003, 17.35996707100003)",30-06-2022.geojson,
Nirmal,TSD0013,3729.13,29.4434814453125,30.793975830078125,30.134397506713867,32.0,964.3007202148438,30.098587036132812,"(77.76173454100007, 18.84522452500005, 78.95237500500008, 19.342882151000026)",30-06-2022.geojson,
Nizamabad,TSD0014,4168.33,29.3629150390625,30.42987060546875,29.9541015625,34.0,1018.439453125,29.9881591796875,"(77.73094369300003, 18.43404349700006, 78.64029038200005, 19.015710890000037)",30-06-2022.geojson,
Peddapalli,TSD0015,2195.39,30.980499267578125,31.675872802734375,31.40545654296875,18.0,565.2982177734375,31.473678588867188,"(79.11294947900006, 18.385471986000027, 79.83268954900007, 18.854875013000026)",30-06-2022.geojson,
Rajanna Sircilla,TSD0016,1897.97,29.31964111328125,30.837249755859375,30.15435791015625,16.0,482.4697265625,30.115737915039062,"(78.52078465300008, 18.21376387500004, 79.02266919100003, 18.69041016700004)",30-06-2022.geojson,
