district_name,uid,area,min,max,mean,count,sum,median,source_file,centroid,bounds
Bhadradri Kothagudem,TSD0001,6974.14,23.441429138183594,31.102380752563477,27.554970034246576,1825.0,50287.8203125,27.797142028808594,01-01-2022.geojson,"[80.70439006278075, 17.689273994357553]",
Jagtial,TSD0002,2853.09,25.07200050354004,29.987499237060547,27.96585896273087,758.0,21198.12109375,28.030624389648438,01-01-2022.geojson,"[78.87574330838751, 18.8338023749505]",
Jangoan,TSD0003,2112.71,26.204999923706055,29.84833335876465,28.394276190742396,559.0,15872.400390625,28.387142181396484,01-01-2022.geojson,"[79.27607800489348, 17.750740986831726]",
Mulugu,TSD0004,4189.02,24.1200008392334,32.87699890136719,26.77305777452745,1111.0,29744.8671875,26.438236236572266,01-01-2022.geojson,"[80.33786772661823, 18.29047147518736]",
Kamareddy,TSD0005,3701.83,22.5483341217041,31.993000030517578,28.476914342374616,977.0,27821.9453125,28.652856826782227,01-01-2022.geojson,"[78.06329890793397, 18.326243692893655]",
Karimnagar,TSD0006,2127.79,23.24052619934082,29.440000534057617,27.52127299027281,559.0,15384.3916015625,27.584117889404297,01-01-2022.geojson,"[79.23853687837321, 18.380183921305157]",
Khammam,TSD0007,4491.25,23.24142837524414,31.329999923706055,28.572174703663794,1160.0,33143.72265625,28.733665466308594,01-01-2022.geojson,"[80.35668821773643, 17.199094525973987]",
Mahabubabad,TSD0008,3551.04,24.139333724975586,30.21923065185547,27.721743535637728,933.0,25864.38671875,27.880666732788086,01-01-2022.geojson,"[79.9868218423423, 17.665218729780197]",
Mancherial,TSD0009,3909.4,24.411176681518555,30.811111450195312,27.837781805355426,1041.0,28979.130859375,28.04888916015625,01-01-2022.geojson,"[79.51701293789398, 18.993531032765564]",
Medak,TSD0010,2771.68,22.997272491455078,32.16166687011719,28.907577366504853,721.0,20842.36328125,28.90999984741211,01-01-2022.geojson,"[78.25824850555264, 17.956574082577863]",
Nagarkurnool,TSD0011,6399.07,24.25,33.247501373291016,29.414953859060404,1639.0,48211.109375,29.92099952697754,01-01-2022.geojson,"[78.58857647281062, 16.389142237051235]",
Nalgonda,TSD0012,7218.26,24.06624984741211,33.27000045776367,28.926959325396826,1890.0,54671.953125,28.80828094482422,01-01-2022.geojson,"[79.19301472034303, 16.87692074824761]",
Nirmal,TSD0013,3729.13,21.72800064086914,30.842941284179688,27.439439328960646,991.0,27192.484375,27.719472885131836,01-01-2022.geojson,"[78.31699355816836, 19.114130687608668]",
Nizamabad,TSD0014,4168.33,21.694000244140625,29.639999389648438,26.465578167574932,1101.0,29138.6015625,26.575599670410156,01-01-2022.geojson,"[78.20482550088794, 18.70265275287659]",
Peddapalli,TSD0015,2195.39,24.78700065612793,30.0,27.892598260309278,582.0,16233.4921875,27.899707794189453,01-01-2022.geojson,"[79.45523488442778, 18.62087616434993]",
Rajanna Sircilla,TSD0016,1897.97,24.29800033569336,30.0766658782959,27.826935298859127,504.0,14024.775390625,27.95147705078125,01-01-2022.geojson,"[78.76019366323104, 18.425667296980095]",
Sangareddy,TSD0017,4460.37,22.490909576416016,33.69956588745117,30.275922087585034,1176.0,35604.484375,30.591428756713867,01-01-2022.geojson,"[77.8743389606641, 17.7860620089045]",
Siddipet,TSD0018,3637.17,24.66699981689453,30.517499923706055,28.519744904540765,969.0,27635.6328125,28.617368698120117,01-01-2022.geojson,"[78.84824565922057, 18.009624641220498]",
Vikarabad,TSD0019,3618.96,27.31916618347168,33.10749816894531,30.708470286072938,946.0,29050.212890625,30.617490768432617,01-01-2022.geojson,"[77.74593740335436, 17.25474880524307]",
Wanaparthy,TSD0020,2174.67,24.421817779541016,32.46428680419922,30.683470610770577,571.0,17520.26171875,30.816316604614258,01-01-2022.geojson,"[78.03702611426529, 16.293469013815827]",
Warangal Rural,TSD0021,2139.98,25.227500915527344,30.275333404541016,28.286758770249563,571.0,16151.7392578125,28.315000534057617,01-01-2022.geojson,"[79.7502031232394, 17.923738139779893]",
Warangal Urban,TSD0022,1294.45,25.451175689697266,29.684667587280273,28.168031939338235,340.0,9577.130859375,28.283897399902344,01-01-2022.geojson,"[79.47837226395748, 18.02463739511114]",
Yadadri Bhuvanagiri,TSD0023,3422.72,27.04294204711914,31.005714416503906,29.117941870144286,901.0,26235.265625,29.051666259765625,01-01-2022.geojson,"[78.99514545853893, 17.45604943922443]",
Narayanpet,TSD0024,2380.13,24.80238151550293,34.071903228759766,31.397414586743043,611.0,19183.8203125,31.427143096923828,01-01-2022.geojson,"[77.58109853968095, 16.64806882624636]",
Jogulamba Gadwal,TSD0025,2574.21,24.205238342285156,35.57899856567383,31.486460291353385,665.0,20938.49609375,31.444000244140625,01-01-2022.geojson,"[77.78100589186505, 16.07197293220882]",
Rangareddy,TSD0026,4997.54,23.45833396911621,33.22999954223633,30.271546519886364,1320.0,39958.44140625,30.47142791748047,01-01-2022.geojson,"[78.41195074939806, 17.132164589550737]",
Suryapet,TSD0027,3584.22,24.176250457763672,32.9841194152832,27.658443892800214,941.0,26026.595703125,27.468461990356445,01-01-2022.geojson,"[79.75491488779194, 17.080574047365182]",
Medchal Malkajgiri,TSD0028,1088.52,25.85545539855957,30.612857818603516,28.927181667751736,288.0,8331.0283203125,28.924901962280273,01-01-2022.geojson,"[78.55767227540055, 17.543524002760133]",
Adilabad,TSD0029,3980.34,24.263635635375977,29.914762496948242,27.453117495196928,1041.0,28578.6953125,27.516315460205078,01-01-2022.geojson,"[78.56516888256076, 19.520583182394112]",
Hyderabad,TSD0030,182.64,25.156999588012695,30.04157829284668,28.22777048746745,48.0,1354.9329833984375,28.36599349975586,01-01-2022.geojson,"[78.46696611965449, 17.39599799813276]",
Kumurambheem Asifabad,TSD0031,4495.32,24.04111099243164,30.51444435119629,27.292373889593907,1182.0,32259.5859375,27.315448760986328,01-01-2022.geojson,"[79.41516675337719, 19.359212805741603]",
Jayashankar Bhupalpally,TSD0032,2946.01,24.576000213623047,30.115554809570312,27.27393830128205,780.0,21273.671875,27.51166534423828,01-01-2022.geojson,"[79.92787070175133, 18.50206900623134]",
Mahabubnagar,TSD0033,2749.62,25.956666946411133,33.33761978149414,30.73351746450831,722.0,22189.599609375,30.76055145263672,01-01-2022.geojson,"[77.99005585064445, 16.756204506499706]",
Bhadradri Kothagudem,TSD0001,6974.14,25.945999145507812,35.21631622314453,30.95626712328767,1825.0,56495.1875,31.174209594726562,01-02-2022.geojson,"[80.70439006278075, 17.689273994357553]",
Jagtial,TSD0002,2853.09,26.325454711914062,33.547271728515625,30.681066024901057,758.0,23256.248046875,30.64099884033203,01-02-2022.geojson,"[78.87574330838751, 18.8338023749505]",
Jangoan,TSD0003,2112.71,27.1728572845459,33.3380012512207,30.923580053667262,559.0,17286.28125,31.011905670166016,01-02-2022.geojson,"[79.27607800489348, 17.750740986831726]",
Mulugu,TSD0004,4189.02,25.485239028930664,36.14714431762695,30.135794048154814,1111.0,33480.8671875,29.899999618530273,01-02-2022.geojson,"[80.33786772661823, 18.29047147518736]",
Kamareddy,TSD0005,3701.83,23.473636627197266,37.617271423339844,32.40517448183214,977.0,31659.85546875,32.01380920410156,01-02-2022.geojson,"[78.06329890793397, 18.326243692893655]",
Karimnagar,TSD0006,2127.79,24.08727264404297,32.08714294433594,28.808165739601968,559.0,16103.7646484375,28.93600082397461,01-02-2022.geojson,"[79.23853687837321, 18.380183921305157]",
Khammam,TSD0007,4491.25,25.4757137298584,34.136314392089844,30.790200700431033,1160.0,35716.6328125,31.075756072998047,01-02-2022.geojson,"[80.35668821773643, 17.199094525973987]",
Mahabubabad,TSD0008,3551.04,26.127273559570312,33.459999084472656,30.466991559485532,933.0,28425.703125,30.4244441986084,01-02-2022.geojson,"[79.9868218423423, 17.665218729780197]",
Mancherial,TSD0009,3909.4,25.93899917602539,35.319522857666016,31.300514829490876,1041.0,32583.8359375,31.240999221801758,01-02-2022.geojson,"[79.51701293789398, 18.993531032765564]",
Medak,TSD0010,2771.68,24.18181800842285,37.05818176269531,32.007330313800274,721.0,23077.28515625,32.00912857055664,01-02-2022.geojson,"[78.25824850555264, 17.956574082577863]",
Nagarkurnool,TSD0011,6399.07,28.263912200927734,38.172725677490234,33.8640081604637,1639.0,55503.109375,34.31608581542969,01-02-2022.geojson,"[78.58857647281062, 16.389142237051235]",
Nalgonda,TSD0012,7218.26,24.400909423828125,38.478572845458984,31.71748511904762,1890.0,59946.046875,31.83300018310547,01-02-2022.geojson,"[79.19301472034303, 16.87692074824761]",
Nirmal,TSD0013,3729.13,23.036956787109375,36.172725677490234,31.388843340060546,991.0,31106.34375,31.450000762939453,01-02-2022.geojson,"[78.31699355816836, 19.114130687608668]",
Nizamabad,TSD0014,4168.33,23.030000686645508,34.401817321777344,29.50194602917802,1101.0,32481.642578125,29.677825927734375,01-02-2022.geojson,"[78.20482550088794, 18.70265275287659]",
Peddapalli,TSD0015,2195.39,25.814762115478516,33.99420928955078,30.047680412371133,582.0,17487.75,30.01444435119629,01-02-2022.geojson,"[79.45523488442778, 18.62087616434993]",
Rajanna Sircilla,TSD0016,1897.97,25.264545440673828,34.495452880859375,30.745365203373016,504.0,15495.6640625,30.80869483947754,01-02-2022.geojson,"[78.76019366323104, 18.425667296980095]",
Sangareddy,TSD0017,4460.37,23.547391891479492,38.637271881103516,34.89562074829932,1176.0,41037.25,35.47748947143555,01-02-2022.geojson,"[77.8743389606641, 17.7860620089045]",
