district_name,uid,area,min,max,mean,count,sum,median,source_file,centroid,bounds
Bhadradri Kothagudem,TSD0001,6974.14,0.0051634772680699825,0.03206547349691391,0.01315721230847495,56.0,0.7368038892745972,0.01269603706896305,28-02-2022.geojson,"[80.70439006278075, 17.689273994357553]",
Jagtial,TSD0002,2853.09,0.006239557638764381,0.011619956232607365,0.008859578034152155,23.0,0.20377029478549957,0.00839171651750803,28-02-2022.geojson,"[78.87574330838751, 18.8338023749505]",
Jangoan,TSD0003,2112.71,0.0030113179236650467,0.0051634772680699825,0.0040240989011876725,17.0,0.06840968132019043,0.004087397828698158,28-02-2022.geojson,"[79.27607800489348, 17.750740986831726]",
Mulugu,TSD0004,4189.02,0.0019352380186319351,0.03314155340194702,0.010718376249880405,37.0,0.39657992124557495,0.007315637078136206,28-02-2022.geojson,"[80.33786772661823, 18.29047147518736]",
Kamareddy,TSD0005,3701.83,0.0030113179236650467,0.011619956232607365,0.0065265124042828875,30.0,0.19579537212848663,0.006239557638764381,28-02-2022.geojson,"[78.06329890793397, 18.326243692893655]",
Karimnagar,TSD0006,2127.79,0.0019352380186319351,0.00839171651750803,0.0033911107217564304,17.0,0.057648882269859314,0.0030113179236650467,28-02-2022.geojson,"[79.23853687837321, 18.380183921305157]",
Khammam,TSD0007,4491.25,0.0051634772680699825,0.017000354826450348,0.009219470696571546,39.0,0.3595593571662903,0.007315637078136206,28-02-2022.geojson,"[80.35668821773643, 17.199094525973987]",
Mahabubabad,TSD0008,3551.04,0.0019352380186319351,0.007315637078136206,0.00388563284650445,32.0,0.1243402510881424,0.0030113179236650467,28-02-2022.geojson,"[79.9868218423423, 17.665218729780197]",
Mancherial,TSD0009,3909.4,0.0008591582300141454,0.027761153876781464,0.011739519735177359,36.0,0.4226227104663849,0.010543876327574253,28-02-2022.geojson,"[79.51701293789398, 18.993531032765564]",
Medak,TSD0010,2771.68,0.0030113179236650467,0.0051634772680699825,0.00426674447953701,24.0,0.10240186750888824,0.004087397828698158,28-02-2022.geojson,"[78.25824850555264, 17.956574082577863]",
Nagarkurnool,TSD0011,6399.07,0.0008591582300141454,0.006239557638764381,0.0020773618851067884,53.0,0.11010017991065979,0.0019352380186319351,28-02-2022.geojson,"[78.58857647281062, 16.389142237051235]",
