district_name,uid,area,min,max,mean,count,sum,median,source_file,centroid,bounds
Bhadradri Kothagudem,TSD0001,6974.14,25.99444580078125,27.740631103515625,27.020289267263106,62.0,1675.2579345703125,27.051437377929688,28-02-2023.geojson,"[80.70439006278075, 17.689273994357553]",
Jagtial,TSD0002,2853.09,25.0889892578125,26.09588623046875,25.45801955003005,26.0,661.9085083007812,25.401199340820312,28-02-2023.geojson,"[78.87574330838751, 18.8338023749505]",
Jangoan,TSD0003,2112.71,24.6075439453125,25.3370361328125,25.016514828330592,19.0,475.31378173828125,25.0706787109375,28-02-2023.geojson,"[79.27607800489348, 17.750740986831726]",
Mulugu,TSD0004,4189.02,25.63397216796875,28.090118408203125,26.861283585831927,37.0,993.8674926757812,26.95123291015625,28-02-2023.geojson,"[80.33786772661823, 18.29047147518736]",
Kamareddy,TSD0005,3701.83,24.3582763671875,25.96881103515625,25.23634966681985,34.0,858.035888671875,25.242965698242188,28-02-2023.geojson,"[78.06329890793397, 18.326243692893655]",
Karimnagar,TSD0006,2127.79,25.5667724609375,25.98468017578125,25.771655612521702,18.0,463.8898010253906,25.770233154296875,28-02-2023.geojson,"[79.23853687837321, 18.380183921305157]",
Khammam,TSD0007,4491.25,25.941925048828125,27.276275634765625,26.634134432164632,41.0,1091.99951171875,26.59197998046875,28-02-2023.geojson,"[80.35668821773643, 17.199094525973987]",
Mahabubabad,TSD0008,3551.04,25.418914794921875,26.625,26.21613811624461,29.0,760.2680053710938,26.301177978515625,28-02-2023.geojson,"[79.9868218423423, 17.665218729780197]",
Mancherial,TSD0009,3909.4,24.642974853515625,26.722747802734375,25.73952865600586,32.0,823.6649169921875,25.825820922851562,28-02-2023.geojson,"[79.51701293789398, 18.993531032765564]",
Medak,TSD0010,2771.68,23.8988037109375,25.429931640625,24.459541015625,25.0,611.488525390625,24.3692626953125,28-02-2023.geojson,"[78.25824850555264, 17.956574082577863]",
Nagarkurnool,TSD0011,6399.07,23.8927001953125,26.182647705078125,25.1630224609375,50.0,1258.151123046875,25.222183227539062,28-02-2023.geojson,"[78.58857647281062, 16.389142237051235]",
Nalgonda,TSD0012,7218.26,24.825042724609375,26.737396240234375,25.719215393066406,64.0,1646.02978515625,25.6676025390625,28-02-2023.geojson,"[79.19301472034303, 16.87692074824761]",
Nirmal,TSD0013,3729.13,24.276397705078125,25.439697265625,24.940032958984375,32.0,798.0810546875,24.988800048828125,28-02-2023.geojson,"[78.31699355816836, 19.114130687608668]",
